Tank,Mass spec,"BDO, mg/L","Acetate, mg/L","OD, raw","Feed Scale, kg",BLEND_F_in,BLEND_x_argon_in_raw,BLEND_x_carbon_dioxide_in_raw,BLEND_x_ethane_in_raw,BLEND_x_hydrogen_in_raw,BLEND_x_methane_in_raw,BLEND_x_nitrogen_in_raw,BLEND_x_oxygen_in_raw,BLEND_x_propane_in_raw,AIR_F_in,AIR_x_argon_in_raw,AIR_x_carbon_dioxide_in_raw,AIR_x_ethane_in_raw,AIR_x_hydrogen_in_raw,AIR_x_methane_in_raw,AIR_x_nitrogen_in_raw,AIR_x_oxygen_in_raw,AIR_x_propane_in_raw,CH4_F_in,CH4_x_argon_in_raw,CH4_x_carbon_dioxide_in_raw,CH4_x_ethane_in_raw,CH4_x_hydrogen_in_raw,CH4_x_methane_in_raw,CH4_x_nitrogen_in_raw,CH4_x_oxygen_in_raw,CH4_x_propane_in_raw,CNG_F_in,CNG_x_argon_in_raw,CNG_x_carbon_dioxide_in_raw,CNG_x_ethane_in_raw,CNG_x_hydrogen_in_raw,CNG_x_methane_in_raw,CNG_x_nitrogen_in_raw,CNG_x_oxygen_in_raw,CNG_x_propane_in_raw,O2_F_in,O2_x_argon_in_raw,O2_x_carbon_dioxide_in_raw,O2_x_ethane_in_raw,O2_x_hydrogen_in_raw,O2_x_methane_in_raw,O2_x_nitrogen_in_raw,O2_x_oxygen_in_raw,O2_x_propane_in_raw,N2_F_in,N2_x_argon_in_raw,N2_x_carbon_dioxide_in_raw,N2_x_ethane_in_raw,N2_x_hydrogen_in_raw,N2_x_methane_in_raw,N2_x_nitrogen_in_raw,N2_x_oxygen_in_raw,N2_x_propane_in_raw,x_argon_out_raw,x_carbon_dioxide_out_raw,x_ethane_out_raw,x_hydrogen_out_raw,x_methane_out_raw,x_nitrogen_out_raw,x_oxygen_out_raw,x_propane_out_raw
1,offgas1,"t1.2,3-butanediol",t1.acetate,t1.od,t1.scales_pumps.scale_feed,t1.flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,t1.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t1.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t1.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t1.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t1.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t1.offgas1.argon_raw,t1.offgas1.carbon_dioxide_raw,t1.offgas1.ethane_raw,t1.offgas1.hydrogen_raw,t1.offgas1.methane_raw,t1.offgas1.nitrogen_raw,t1.offgas1.oxygen_raw,t1.offgas1.propane_raw
2,offgas1,"t2.2,3-butanediol",t2.acetate,t2.od,t2.scales_pumps.scale_feed,t2.flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,t2.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t2.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t2.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t2.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t2.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t2.offgas1.argon_raw,t2.offgas1.carbon_dioxide_raw,t2.offgas1.ethane_raw,t2.offgas1.hydrogen_raw,t2.offgas1.methane_raw,t2.offgas1.nitrogen_raw,t2.offgas1.oxygen_raw,t2.offgas1.propane_raw
3,offgas1,"t3.2,3-butanediol",t3.acetate,t3.od,t3.scales_pumps.scale_feed,t3.flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,t3.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t3.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t3.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t3.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t3.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t3.offgas1.argon_raw,t3.offgas1.carbon_dioxide_raw,t3.offgas1.ethane_raw,t3.offgas1.hydrogen_raw,t3.offgas1.methane_raw,t3.offgas1.nitrogen_raw,t3.offgas1.oxygen_raw,t3.offgas1.propane_raw
4,offgas2,"t4.2,3-butanediol",t4.acetate,t4.od,t4.scales_pumps.scale_feed,t4.flows.flow_air,blend_ref.offgas2.argon_raw,blend_ref.offgas2.carbon_dioxide_raw,blend_ref.offgas2.ethane_raw,blend_ref.offgas2.hydrogen_raw,blend_ref.offgas2.methane_raw,blend_ref.offgas2.nitrogen_raw,blend_ref.offgas2.oxygen_raw,blend_ref.offgas2.propane_raw,t4.flows.flow_air,air_ref.offgas2.argon_raw,air_ref.offgas2.carbon_dioxide_raw,air_ref.offgas2.ethane_raw,air_ref.offgas2.hydrogen_raw,air_ref.offgas2.methane_raw,air_ref.offgas2.nitrogen_raw,air_ref.offgas2.oxygen_raw,air_ref.offgas2.propane_raw,t4.flows.flow_me,b1_ref.offgas2.argon_raw,b1_ref.offgas2.carbon_dioxide_raw,b1_ref.offgas2.ethane_raw,b1_ref.offgas2.hydrogen_raw,b1_ref.offgas2.methane_raw,b1_ref.offgas2.nitrogen_raw,b1_ref.offgas2.oxygen_raw,b1_ref.offgas2.propane_raw,t4.flows.flow_cng,cng_ref.offgas2.argon_raw,cng_ref.offgas2.carbon_dioxide_raw,cng_ref.offgas2.ethane_raw,cng_ref.offgas2.hydrogen_raw,cng_ref.offgas2.methane_raw,cng_ref.offgas2.nitrogen_raw,cng_ref.offgas2.oxygen_raw,cng_ref.offgas2.propane_raw,t4.flows.flow_o2,o2_ref.offgas2.argon_raw,o2_ref.offgas2.carbon_dioxide_raw,o2_ref.offgas2.ethane_raw,o2_ref.offgas2.hydrogen_raw,o2_ref.offgas2.methane_raw,o2_ref.offgas2.nitrogen_raw,o2_ref.offgas2.oxygen_raw,o2_ref.offgas2.propane_raw,t4.flows.flow_n2,n2_co2_ref.offgas2.argon_raw,n2_co2_ref.offgas2.carbon_dioxide_raw,n2_co2_ref.offgas2.ethane_raw,n2_co2_ref.offgas2.hydrogen_raw,n2_co2_ref.offgas2.methane_raw,n2_co2_ref.offgas2.nitrogen_raw,n2_co2_ref.offgas2.oxygen_raw,n2_co2_ref.offgas2.propane_raw,t4.offgas2.argon_raw,t4.offgas2.carbon_dioxide_raw,t4.offgas2.ethane_raw,t4.offgas2.hydrogen_raw,t4.offgas2.methane_raw,t4.offgas2.nitrogen_raw,t4.offgas2.oxygen_raw,t4.offgas2.propane_raw
5,offgas1,"t5.2,3-butanediol",t5.acetate,t5.od,t5.scales_pumps.scale_feed,t5.flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,t5.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t5.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t5.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t5.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t5.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t5.offgas1.argon_raw,t5.offgas1.carbon_dioxide_raw,t5.offgas1.ethane_raw,t5.offgas1.hydrogen_raw,t5.offgas1.methane_raw,t5.offgas1.nitrogen_raw,t5.offgas1.oxygen_raw,t5.offgas1.propane_raw
6,offgas1,"t6.2,3-butanediol",t6.acetate,t6.od,t6.scales_pumps.scale_feed,t6.flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,t6.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t6.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t6.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t6.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t6.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t6.offgas1.argon_raw,t6.offgas1.carbon_dioxide_raw,t6.offgas1.ethane_raw,t6.offgas1.hydrogen_raw,t6.offgas1.methane_raw,t6.offgas1.nitrogen_raw,t6.offgas1.oxygen_raw,t6.offgas1.propane_raw
7,offgas1,"t7.2,3-butanediol",t7.acetate,t7.od,t7.scales_pumps.scale_feed,t7.flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,t7.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t7.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t7.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t7.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t7.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t7.offgas1.argon_raw,t7.offgas1.carbon_dioxide_raw,t7.offgas1.ethane_raw,t7.offgas1.hydrogen_raw,t7.offgas1.methane_raw,t7.offgas1.nitrogen_raw,t7.offgas1.oxygen_raw,t7.offgas1.propane_raw
8,offgas1,"t8.2,3-butanediol",t8.acetate,t8.od,t8.scales_pumps.scale_feed,t8.flows.flow_air,blend_ref.offgas1.argon_raw,blend_ref.offgas1.carbon_dioxide_raw,blend_ref.offgas1.ethane_raw,blend_ref.offgas1.hydrogen_raw,blend_ref.offgas1.methane_raw,blend_ref.offgas1.nitrogen_raw,blend_ref.offgas1.oxygen_raw,blend_ref.offgas1.propane_raw,t8.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t8.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t8.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t8.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t8.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t8.offgas1.argon_raw,t8.offgas1.carbon_dioxide_raw,t8.offgas1.ethane_raw,t8.offgas1.hydrogen_raw,t8.offgas1.methane_raw,t8.offgas1.nitrogen_raw,t8.offgas1.oxygen_raw,t8.offgas1.propane_raw
9,offgas1,"t9.2,3-butanediol",t9.acetate,t9.od,t9.scales_pumps.scale_feed,t9.flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,t9.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t9.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t9.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t9.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t9.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t9.offgas1.argon_raw,t9.offgas1.carbon_dioxide_raw,t9.offgas1.ethane_raw,t9.offgas1.hydrogen_raw,t9.offgas1.methane_raw,t9.offgas1.nitrogen_raw,t9.offgas1.oxygen_raw,t9.offgas1.propane_raw
10,offgas1,"t10.2,3-butanediol",t10.acetate,t10.od,t10.scales_pumps.scale_feed,t10.flows.flow_blend,hood_blend_ref.offgas1.argon_raw,hood_blend_ref.offgas1.carbon_dioxide_raw,hood_blend_ref.offgas1.ethane_raw,hood_blend_ref.offgas1.hydrogen_raw,hood_blend_ref.offgas1.methane_raw,hood_blend_ref.offgas1.nitrogen_raw,hood_blend_ref.offgas1.oxygen_raw,hood_blend_ref.offgas1.propane_raw,t10.flows.flow_air,air_ref.offgas1.argon_raw,air_ref.offgas1.carbon_dioxide_raw,air_ref.offgas1.ethane_raw,air_ref.offgas1.hydrogen_raw,air_ref.offgas1.methane_raw,air_ref.offgas1.nitrogen_raw,air_ref.offgas1.oxygen_raw,air_ref.offgas1.propane_raw,t10.flows.flow_me,b1_ref.offgas1.argon_raw,b1_ref.offgas1.carbon_dioxide_raw,b1_ref.offgas1.ethane_raw,b1_ref.offgas1.hydrogen_raw,b1_ref.offgas1.methane_raw,b1_ref.offgas1.nitrogen_raw,b1_ref.offgas1.oxygen_raw,b1_ref.offgas1.propane_raw,t10.flows.flow_cng,cng_ref.offgas1.argon_raw,cng_ref.offgas1.carbon_dioxide_raw,cng_ref.offgas1.ethane_raw,cng_ref.offgas1.hydrogen_raw,cng_ref.offgas1.methane_raw,cng_ref.offgas1.nitrogen_raw,cng_ref.offgas1.oxygen_raw,cng_ref.offgas1.propane_raw,t10.flows.flow_o2,o2_ref.offgas1.argon_raw,o2_ref.offgas1.carbon_dioxide_raw,o2_ref.offgas1.ethane_raw,o2_ref.offgas1.hydrogen_raw,o2_ref.offgas1.methane_raw,o2_ref.offgas1.nitrogen_raw,o2_ref.offgas1.oxygen_raw,o2_ref.offgas1.propane_raw,t10.flows.flow_n2,n2_co2_ref.offgas1.argon_raw,n2_co2_ref.offgas1.carbon_dioxide_raw,n2_co2_ref.offgas1.ethane_raw,n2_co2_ref.offgas1.hydrogen_raw,n2_co2_ref.offgas1.methane_raw,n2_co2_ref.offgas1.nitrogen_raw,n2_co2_ref.offgas1.oxygen_raw,n2_co2_ref.offgas1.propane_raw,t10.offgas1.argon_raw,t10.offgas1.carbon_dioxide_raw,t10.offgas1.ethane_raw,t10.offgas1.hydrogen_raw,t10.offgas1.methane_raw,t10.offgas1.nitrogen_raw,t10.offgas1.oxygen_raw,t10.offgas1.propane_raw
